id,username,parseId,formId,auditId,zoneId,typeId,belongsTo,dataType,key,valueString,valueInt,valueDouble,created,updated,isUpdated
1,roshanbhandari,,101,1,,,preaudit,pickerinputrow,Name,Anthony,,,,,
2,roshanbhandari,,102,1,,,preaudit,emailrow,Email,anthony@gmail.com,,,,,
3,roshanbhandari,,103,1,,,preaudit,phonerow,Phone Number,9841760774,,,,,
4,roshanbhandari,,111,1,,,preaudit,textrow,Name,John Doe,,,,,
5,roshanbhandari,,112,1,,,preaudit,textrow,Position,CEO,,,,,
6,roshanbhandari,,113,1,,,preaudit,emailrow,Email,john@doe.com,,,,,
7,roshanbhandari,,114,1,,,preaudit,phonerow,Phone Number,8812321234,,,,,
8,roshanbhandari,,115,1,,,preaudit,textrow,Business Name,Fabulous Ice Cream Inc.,,,,,
9,roshanbhandari,,121,1,,,preaudit,textarearow,Address,"Burwood Street, No-23",,,,,
10,roshanbhandari,,141,1,,,preaudit,introw,Number of Vacation days,"06:00 12:00, 14:00 15:00",,,,,
11,roshanbhandari,,142,1,,,preaudit,textrow,Monday Operating Hours,08:00 17:00,,,,,
12,roshanbhandari,,143,1,,,preaudit,textrow,Tuesday Operating Hours,,,,,,
13,roshanbhandari,,144,1,,,preaudit,textrow,Wednesday Operating Hours,,,,,,
14,roshanbhandari,,145,1,,,preaudit,textrow,Thursday Operating Hours,06:00 11:40,,,,,
15,roshanbhandari,,146,1,,,preaudit,textrow,Friday Operating Hours,,,,,,
16,roshanbhandari,,147,1,,,preaudit,textrow,Saturday Operating Hours,,,,,,
17,roshanbhandari,,148,1,,,preaudit,textrow,Sunday Operating Hours,,,,,,
18,roshanbhandari,,161,1,,,preaudit,introw,Building Year,1997,,,,,
19,roshanbhandari,,162,1,,,preaudit,introw,Lighting Year,2010,,,,,
20,roshanbhandari,,181,1,,,preaudit,textrow,Facility Type,Eat Out,,,,,
21,roshanbhandari,,182,1,,,preaudit,pickerinputrow,Utility Company,PGNE,,,,,
22,roshanbhandari,,184,1,,,preaudit,pickerinputrow,Electric Rate Structure,A-1 TOU,,,,,
23,roshanbhandari,,101,,,1,type,textrow,Product Type,Best Cooler,,,,,
24,roshanbhandari,,102,,,1,type,decimalrow,Total Volume,1000,,,,,
25,roshanbhandari,,103,,,1,type,decimalrow,Fridge Capacity,1000,,,,,
26,roshanbhandari,,104,,,1,type,textrow,Model Number,ABC123,,,,,
27,roshanbhandari,,105,,,1,type,textrow,Company,Samsung,,,,,
28,roshanbhandari,,101,2,,,preaudit,pickerinputrow,Name,Ron,,,,,
29,roshanbhandari,,102,2,,,preaudit,emailrow,Email,ron@gmail.com,,,,,
30,roshanbhandari,,103,2,,,preaudit,phonerow,Phone Number,9.77E+11,,,,,
31,roshanbhandari,,101,,,3,type,textrow,Type,Heavy Duty,,,,,
32,roshanbhandari,,102,,,3,type,textrow,Make,HP,,,,,
33,roshanbhandari,,103,,,3,type,textrow,Model #,2K00XT,,,,,
34,roshanbhandari,,104,,,3,type,introw,EER,100.234,,,,,
35,roshanbhandari,,105,,,3,type,introw,SEER,88.99,,,,,
36,roshanbhandari,,106,,,3,type,introw,HSPF,7.89,,,,,
